Link,Title,Location,Salary,Summary
https://kr.indeed.com/viejob?jk=7db25ada717266e0 ,[Clova] Clova AI AiCall 개발자 경력사원,네이버 대한민국,,내부 도구 개발 [필요역량] - Python 혹은 비슷한 유형의 언어 개발... 데이터 전처리 자동화 및 MLOps [필요역량] - Kotlin / Python / Go 중 하나 이상 능숙하게 개발 가능하신 분 - 디자인 패턴...
https://kr.indeed.com/viejob?jk=f3a14b3f8d9e3e12 ,네이버 쇼핑검색플랫폼 개발자,네이버 대한민국,,"info extraction [필요역량] - 아래 기술 중 어느 한가지를 능숙하게 다룰 수 있는 분 [ Java, Python, Spring boot/batch/cloud, Kotlin, React, Vue, Node.JS..."
https://kr.indeed.com/viejob?jk=e9332c9aa21fc59c ,소프트웨어 엔지니어,Nexon 성남 분당구,,"개발자 포털 및 Open API 지원자격 - 백엔드 서버 개발 경력 5년 이상 - Javascript, Python, Golang, Java 중 1개이상의 프로그래밍 경험 - 대규모 트래픽 분산 처리 경험 - 다양한..."
https://kr.indeed.com/viejob?jk=2615f45e6f912c05 ,"Customer Solutions Engineer, Global Clie...",Google 4.3 서울,,"general purpose programming language (e.g., Java, C/C++, Python). Preferred qualifications: Experience... online..."
https://kr.indeed.com/viejob?jk=2695294aea6dc3b6 ,MongoDB Engineer,카카오 4.2 성남 판교역,,수 있는 분 Linux/Network에 대한 기초 지식이 있는 분 우대 사항 C/C++ 또는 Python 언어를 이용한 프로그램 개발(프로젝트) 경험이 있는 분 MongoDB 트러블 슈팅 경험이 있는 분 MongoDB...
https://kr.indeed.com/viejob?jk=c547d8629b2c686a ,Server Tech II,Amway Inc. 서울,,"access management Hands-on experience with most... following: Python, Java, Go, C#, HTML, CSS, JavaScript, Node.js, shell..."
https://kr.indeed.com/viejob?jk=212ca67d161b7162 ,2020 Market Data Analyst - Seoul (Korean...,Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viejob?jk=bfe0f5ac4f32ec89 ,추천 통계분석/데이터사이언티스트,카카오 4.2 성남 판교역,,등 기타 카카오 서비스 영역 전반 지원자격 숙련된 데이터분석 능력 데이터 사이언스를 위한 언어(R/ Python) 를 하나 이상 능숙하게 다룰 수 있으신 분 분석 결과를 설득력있게 전달할 수 있는 분 우대사항 머신...
https://kr.indeed.com/viejob?jk=67a92be234325f85 ,[해외취업] AI 엔지니어,株式会社ASCOM 대한민국,,"회사에서 일하고 싶어하는 사람들에게 좋은 기회입니다. 인생의 새로운 장을 열어보세요! 1) C/C++, Python 및 기타 프로그래밍 언어에 익숙한 자 2) 딥 러닝 도구(예：Tensorflow,Caffe 등)에 익숙한 자..."
https://kr.indeed.com/viejob?jk=c6e0b428a62c7eaa ,경험최적화파트 - 데이터 사이언티스트/분석가,Nexon 성남 분당구,,피처 탐색 등) - 게임내 행동패턴 로그 분석과 패턴 식별 및 이를 통한 서비스 개선 지원자격 - Python을 사용한 데이터 분석 및 모델 개발 경험 - 머신러닝 라이브러리 활용 경험 - 셀프 모티베이션 - 원활한...
https://kr.indeed.com/viejob?jk=3a08c7089343733d ,광고팀 - 분석가,Nexon 성남 분당구,,및 커뮤니케이션 능력 - (필수) 새로운 기술 습득에 능동적이고 거부감이 없는 분 - (선택) R 혹은 Python을 이용한 데이터분석 능력 - (선택) SQL 기본 활용 능력 - (선택) 통계 및 분석에 대한 이론...
https://kr.indeed.com/viejob?jk=2531a0c578f5ca30 ,[Robotics] Robot Software Engineer,네이버 대한민국,,Robotics 혹은 Computer vision 등 유사 분야 석사/박사 학위 혹은 5년 이상의 개발 경력 ㅇ Python / Lua 등 스크립트 언어를 C/C++와 연계 활용 능숙 ㅇ Docker / Kubernetes...
https://kr.indeed.com/viejob?jk=157c5580e101255a ,(세종시) 응용프로그램개발 정규직 - 신입/경력,디엠씨소프트 대한민국,"월급 1,600,000원 - 1,800,000원","지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 - C#, .NET 개발 - CS, WEB 개발 - Python 개발 - 시스템 유지보수 관리 상세모집요강 접수기간/방법 지원방법 전형절차 및 제출서류 제출서류..."
https://kr.indeed.com/viejob?jk=752a4b5d63eac97c ,Back-end Engineer (Python),Soomgo 서울 강남구,,래픽 처리를 위한 AWS 인프라 구축 • 5년 이상의 웹/앱 서비스 백엔드 시스템 개발 경험이 있는 분 • Python 언어를 활용한 개발 경험이 있는 분 • 성능 최적화에 대해 지속적으로 고민하고 노력하시는 분 • AWS...
